Country Name,Country Code,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Argentina,ARG,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,3.86000990867615,4.12821006774902,4.46260976791382,4.84438991546631,5.53105020523071,5.01972007751465,5.29063987731934,5.3458399772644,5.43660020828247,5.36144018173218,5.77611017227173,5.54548978805542,5.45432996749878,4.87773990631104,4.77165985107422,5.27689981460571,4.65393018722534,4.79263019561768,5.00324010848999,
Brazil,BRA,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,4.47909021377563,4.87060022354126,4.97426986694336,5.26884984970093,5.46355009078979,5.64879989624023,5.73741006851196,5.85510015487671,5.8388500213623,5.94848012924194,6.24105978012085,6.31403017044067,6.32047986984253,6.08851003646851,5.96346998214722,5.7714900970459,5.4969801902771,5.61920976638794,,
Chile,CHL,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,3.28016996383667,3.04014992713928,3.2331600189209,3.79189991950989,4.25475978851318,4.18953990936279,4.06173992156982,,4.54814004898071,4.75168991088867,4.90390014648438,5.36645984649658,5.43278980255127,5.473060131073,5.62629985809326,5.62992000579834,5.00225019454956,4.91201019287109,,
China,CHN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,3.89714002609253,
Colombia,COL,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,4.02098989486694,3.91671991348267,4.08301019668579,3.9387800693512,4.77651977539062,4.83382987976074,4.46608018875122,4.37038993835449,4.87855005264282,4.62945985794067,4.47038984298706,4.47721004486084,4.53551006317139,4.44910001754761,4.51068019866943,5.26166009902954,,,,
"Egypt, Arab Rep.",EGY,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,4.79442977905273,4.00178003311157,3.68460988998413,3.76082992553711,,,,,,,,,,,,,,,,
Ethiopia,ETH,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,,5.49094009399414,5.45110988616943,5.40819978713989,4.42207002639771,4.49659013748169,5.4857702255249,5.56677007675171,4.4985499382019,4.60201978683472,4.73791868878759,5.06151399998447,5.49905076025271,5.22011189522399,4.48086946127054,4.0905654220699,4.06524874309096,3.73649512188829,2.9272447768927,2.2978069565991
Finland,FIN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,6.02582979202271,5.92960977554321,5.67164993286133,5.83046007156372,6.45998001098633,6.504310131073,6.45624017715454,7.1715497970581,7.15288019180298,7.13832998275757,7.07199001312256,6.90873003005981,6.40826988220215,6.31771993637085,6.45300006866455,6.6812801361084,6.58820009231567,6.37578010559082,,
France,FRA,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,5.46482992172241,5.42540979385376,5.36638021469116,5.65871000289917,5.41743993759155,5.32434988021851,,
Germany,DEU,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,,,,4.47337007522583,,4.99525022506714,4.88583993911743,4.83153009414673,4.83911991119385,4.82582998275757,4.76157999038696,4.76321983337402,4.77830982208252,4.88401985168457,5.02757978439331,5.51600980758667,5.36734008789062,5.23916006088257,,
India,IND,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,3.18876004219055,3.14284992218018,,,3.27824997901917,3.377690076828,3.79618000984192,3.8675000667572,3.84467005729675,3.89878023242693,4.1145601272583,4.25406980514526,4.30543994903565,4.36374998092651,3.89732003211975,4.29335021972656,4.62949991226196,4.09865814174589,,
Indonesia,IDN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2.87281990051269,,3.04426002502441,2.90190005302429,3.52513003349304,2.81227993965149,3.18944001197815,3.40748000144958,3.35904002189636,3.28800988197327,3.58361005783081,1.21023452496964,1.05324382490056,0.994436460846179,0.964399077622927,1.01593221347809,1.03221750658374,0.863943349575907,1.27517088245674,
Japan,JPN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,3.31493997573852,3.27667999267578,3.27934002876282,3.27241992950439,,3.59951996803284,3.60526990890503,3.41945004463196,3.40874004364014,3.41529989242554,3.31221008300781,3.14643001556396,3.13057994842529,3.07782006263733,3.15533995628357,3.30628991127014,3.33663988113403,,,
"Korea, Rep.",KOR,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,4.24247980117798,4.11502981185913,4.10775995254517,4.21645021438599,4.41813993453979,4.52706003189087,4.55590009689331,5.40910005569458,,
Mexico,MEX,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,4.63395023345947,4.49317979812622,4.47919988632202,4.60607004165649,4.94934988021851,4.93697023391724,4.9040699005127,4.88349008560181,4.50858020782471,5.06807994842529,5.05087995529175,4.75795984268188,4.39752006530762,4.13944005966187,,4.4996600151062,4.23823976516724,4.05987977981567,,
Nigeria,NGA,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,,,,,,,,0.549233086121929,0.534206768008091,0.470742539133469,0.436954905120644,0.393045646249364,0.396354013591345,0.419998493796127,0.358479005206684,0.35963763718498,0.381919104397325,0.348516707890877,0.319069049792343,
Peru,PER,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2.83903002738953,2.65281009674072,2.62940001487732,2.8677499294281,3.13994002342224,2.86730003356934,2.6635000705719,2.92276000976562,3.29729008674622,3.69599008560181,3.96933007240295,3.81316995620727,3.93130993843079,3.71392011642456,3.822429895401,4.25937986373901,3.92765998840332,3.83975005149841,4.24538993835449,4.35778999328613
Russian Federation,RUS,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,3.77192997932434,3.86626005172729,,4.10174989700317,,4.08974230526824,3.71261270253186,3.79310011863708,3.76382994651794,4.01387977600098,3.83402991294861,3.76044011116028,4.68990993499756,4.67819023132324,3.69561429198336,4.01641864383637,3.99480697864774,4.05402755323777,4.16454853394225,
Saudi Arabia,SAU,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,5.43093013763428,5.89117002487183,,5.13781023025513,,,,,,,,,,,,,,,4.48087978363037,
South Africa,ZAF,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,4.5245099067688,4.52652978897095,4.44668006896973,4.37424993515015,4.76118993759155,5.13496017456055,5.28899002075195,5.52322006225586,5.35070991516113,5.48977994918823,5.48285007476807,5.4442400932312,5.59868001937866,5.64401006698608,5.91159009933472,6.17067003250122,6.5551700592041,6.15599012374878,6.12347984313965,6.02110004425049
Sweden,SWE,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,6.51516008377075,6.37277984619141,6.18673992156982,6.38263988494873,6.78425979614258,6.56318998336792,6.40655994415283,7.57456016540527,7.6465802192688,7.62924003601074,7.49442005157471,7.63991022109985,7.63849020004272,7.69825983047485,7.66307020187378,7.95333003997803,7.60224008560181,7.31909990310669,,
Turkiye,TUR,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,,,,,,,4.22150993347168,4.38721990585327,4.34479999542236,4.41256999969482,4.30550003051758,4.62773990631104,4.32369995117188,4.29729986190796,4.44776010513306,4.03382015228271,3.53787994384766,3.09571003913879,,
United Kingdom,GBR,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,4.92975997924805,4.97648000717163,4.9244499206543,4.90972995758057,5.06263017654419,5.69868993759155,5.57219982147217,,5.52529001235962,5.60134983062744,5.55453014373779,5.42795991897583,5.45254993438721,5.20438003540039,5.26116991043091,5.43936014175415,5.90681982040405,,,
United States,USA,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,4.93064022064209,4.78327989578247,5.09296989440918,4.89502000808716,4.95746994018555,5.39530992507935,5.42038011550903,,,
