Country Name,Country Code,Indicator Name,Indicator Code,Ano,Valor,Indicador Label
Argentina,ARG,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,3.86000990867615,Gasto público em educação (% PIB)
Brazil,BRA,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,4.47909021377563,Gasto público em educação (% PIB)
Chile,CHL,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,3.28016996383667,Gasto público em educação (% PIB)
Colombia,COL,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,4.02098989486694,Gasto público em educação (% PIB)
"Egypt, Arab Rep.",EGY,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,4.79442977905273,Gasto público em educação (% PIB)
Finland,FIN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,6.02582979202271,Gasto público em educação (% PIB)
India,IND,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,3.18876004219055,Gasto público em educação (% PIB)
Indonesia,IDN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,2.87281990051269,Gasto público em educação (% PIB)
Japan,JPN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,3.31493997573852,Gasto público em educação (% PIB)
Mexico,MEX,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,4.63395023345947,Gasto público em educação (% PIB)
Peru,PER,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,2.83903002738953,Gasto público em educação (% PIB)
Russian Federation,RUS,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,3.77192997932434,Gasto público em educação (% PIB)
Saudi Arabia,SAU,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,5.43093013763428,Gasto público em educação (% PIB)
South Africa,ZAF,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,4.5245099067688,Gasto público em educação (% PIB)
Sweden,SWE,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,6.51516008377075,Gasto público em educação (% PIB)
United Kingdom,GBR,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2005,4.92975997924805,Gasto público em educação (% PIB)
Argentina,ARG,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,4.12821006774902,Gasto público em educação (% PIB)
Brazil,BRA,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,4.87060022354126,Gasto público em educação (% PIB)
Chile,CHL,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,3.04014992713928,Gasto público em educação (% PIB)
Colombia,COL,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,3.91671991348267,Gasto público em educação (% PIB)
"Egypt, Arab Rep.",EGY,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,4.00178003311157,Gasto público em educação (% PIB)
Ethiopia,ETH,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,5.49094009399414,Gasto público em educação (% PIB)
Finland,FIN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,5.92960977554321,Gasto público em educação (% PIB)
India,IND,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,3.14284992218018,Gasto público em educação (% PIB)
Japan,JPN,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,3.27667999267578,Gasto público em educação (% PIB)
Mexico,MEX,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,4.49317979812622,Gasto público em educação (% PIB)
Peru,PER,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,2.65281009674072,Gasto público em educação (% PIB)
Russian Federation,RUS,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,3.86626005172729,Gasto público em educação (% PIB)
Saudi Arabia,SAU,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,5.89117002487183,Gasto público em educação (% PIB)
South Africa,ZAF,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,4.52652978897095,Gasto público em educação (% PIB)
Sweden,SWE,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,6.37277984619141,Gasto público em educação (% PIB)
United Kingdom,GBR,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2006,4.97648000717163,Gasto público em educação (% PIB)
Argentina,ARG,Gasto público em educação (% PIB),SE.XPD.TOTL.GD.ZS,2007,4.46260976791382,Gasto público em educação (% PIB)
